run_id	sequence_accession	score	percent_identity	n_reads	viral_name	BioSample
SRR4446063	NC_007605.1	98	99	25319	Epstein-Barr virus	SAMN05935103
SRR4457121	NC_006273.2	94	98	1569	Human cytomegalovirus	SAMN03801454
SRR4457122	NC_006273.2	87	98	1019	Human cytomegalovirus	SAMN03801455
SRR4869914	NC_009333.1	100	100	55059	Human herpesvirus 8	SAMN05969986
SRR4869915	NC_009333.1	100	100	160680	Human herpesvirus 8	SAMN05969985
SRR4869916	NC_009333.1	100	100	60650	Human herpesvirus 8	SAMN05969996
SRR4869917	NC_009333.1	100	100	170975	Human herpesvirus 8	SAMN05969995
SRR4869918	NC_009333.1	100	100	319281	Human herpesvirus 8	SAMN05969994
SRR4869920	NC_009333.1	100	100	416339	Human herpesvirus 8	SAMN05969993
SRR4869921	NC_009333.1	100	100	326947	Human herpesvirus 8	SAMN05969992
SRR4869922	NC_009333.1	100	100	506840	Human herpesvirus 8	SAMN05969991
SRR4869924	NC_009333.1	100	100	40537	Human herpesvirus 8	SAMN05969990
SRR4869925	NC_009333.1	100	100	122645	Human herpesvirus 8	SAMN05969989
SRR4869926	NC_009333.1	100	100	42590	Human herpesvirus 8	SAMN05969988
SRR4869927	NC_009333.1	100	100	235289	Human herpesvirus 8	SAMN05969987
SRR4888713	NC_007605.1	62	99	460	Epstein-Barr virus	SAMN05978171
SRR4934311	NC_007605.1	100	99	30378	Epstein-Barr virus	SAMN05981919
SRR4934495	NC_007605.1	99	99	41448	Epstein-Barr virus	SAMN05981922
SRR4934687	NC_007605.1	100	99	44940	Epstein-Barr virus	SAMN05981920
SRR4934799	NC_007605.1	100	99	30912	Epstein-Barr virus	SAMN05981918
SRR4934910	NC_007605.1	99	99	47888	Epstein-Barr virus	SAMN05981914
SRR4934934	NC_007605.1	98	99	21117	Epstein-Barr virus	SAMN05981916
SRR4934935	NC_007605.1	99	99	28287	Epstein-Barr virus	SAMN05981915
SRR4934936	NC_007605.1	100	99	52497	Epstein-Barr virus	SAMN05981917
SRR4934937	NC_007605.1	96	99	27884	Epstein-Barr virus	SAMN05981921
SRR5014641	NC_006273.2	51	96	797	Human cytomegalovirus	SAMN06013830
SRR502783	NC_007605.1	100	99	168198	Epstein-Barr virus	SAMN01001222
SRR502784	NC_007605.1	100	99	187273	Epstein-Barr virus	SAMN01001223
SRR502785	NC_007605.1	100	99	120850	Epstein-Barr virus	SAMN01001224
SRR502786	NC_007605.1	100	99	138529	Epstein-Barr virus	SAMN01001225
SRR502787	NC_007605.1	100	99	110098	Epstein-Barr virus	SAMN01001226
SRR502788	NC_007605.1	100	99	79199	Epstein-Barr virus	SAMN01001227
SRR502789	NC_007605.1	100	99	236684	Epstein-Barr virus	SAMN01001228
SRR502790	NC_007605.1	100	99	277759	Epstein-Barr virus	SAMN01001229
SRR502791	NC_007605.1	100	99	677139	Epstein-Barr virus	SAMN01001230
SRR502792	NC_007605.1	100	99	883437	Epstein-Barr virus	SAMN01001231
SRR502793	NC_007605.1	100	99	1524699	Epstein-Barr virus	SAMN01001232
SRR502794	NC_007605.1	100	99	260621	Epstein-Barr virus	SAMN01001233
SRR502795	NC_007605.1	100	99	241251	Epstein-Barr virus	SAMN01001234
SRR502796	NC_007605.1	100	99	250606	Epstein-Barr virus	SAMN01001235
SRR502797	NC_007605.1	100	99	182026	Epstein-Barr virus	SAMN01001236
SRR502798	NC_007605.1	100	99	382940	Epstein-Barr virus	SAMN01001237
SRR502799	NC_007605.1	100	99	47633	Epstein-Barr virus	SAMN01001238
SRR502800	NC_007605.1	100	99	67372	Epstein-Barr virus	SAMN01001239
SRR502801	NC_007605.1	100	99	50309	Epstein-Barr virus	SAMN01001240
SRR502802	NC_007605.1	100	99	54347	Epstein-Barr virus	SAMN01001241
SRR504358	NC_007605.1	100	99	9066	Epstein-Barr virus	SAMN01036970
SRR504359	NC_007605.1	100	100	39042	Epstein-Barr virus	SAMN01036971
SRR5048071	NC_007605.1	98	99	96947	Epstein-Barr virus	SAMN05733806
SRR5048072	NC_007605.1	100	99	106793	Epstein-Barr virus	SAMN05733807
SRR5048075	NC_007605.1	98	99	95850	Epstein-Barr virus	SAMN06044646
SRR5048076	NC_007605.1	98	99	87821	Epstein-Barr virus	SAMN06044648
SRR5048091	NC_007605.1	99	99	783772	Epstein-Barr virus	SAMN06044647
SRR5048092	NC_007605.1	98	99	775357	Epstein-Barr virus	SAMN06044649
SRR5048111	NC_007605.1	100	98	37571	Epstein-Barr virus	SAMN06044648
SRR5048112	NC_007605.1	100	98	35147	Epstein-Barr virus	SAMN06044646
SRR5048115	NC_007605.1	98	99	188424	Epstein-Barr virus	SAMN06044649
SRR5048116	NC_007605.1	98	99	200967	Epstein-Barr virus	SAMN06044647
SRR5048187	NC_007605.1	100	98	100912	Epstein-Barr virus	SAMN06044662
SRR5048188	NC_007605.1	100	99	109393	Epstein-Barr virus	SAMN06044661
SRR5081864	NC_009333.1	100	99	1272145	Human herpesvirus 8	SAMN05616424
SRR5081865	NC_009333.1	100	99	859123	Human herpesvirus 8	SAMN05616143
SRR5081866	NC_009333.1	100	99	2967476	Human herpesvirus 8	SAMN05616443
SRR5084300	NC_001405.1	87	98	5246	Human adenovirus	SAMN06115996
SRR5084302	NC_001405.1	66	98	3289	Human adenovirus	SAMN06115994
SRR5087330	NC_007605.1	100	99	147049	Epstein-Barr virus	SAMN06121173
SRR5087331	NC_007605.1	100	99	457576	Epstein-Barr virus	SAMN06121175
SRR5087332	NC_007605.1	100	99	124199	Epstein-Barr virus	SAMN06121184
SRR5087333	NC_007605.1	100	99	120145	Epstein-Barr virus	SAMN06121172
SRR5087334	NC_007605.1	100	99	287822	Epstein-Barr virus	SAMN06121186
SRR5087335	NC_007605.1	100	99	561268	Epstein-Barr virus	SAMN06121176
SRR5087336	NC_007605.1	100	99	214405	Epstein-Barr virus	SAMN06121185
SRR5087337	NC_007605.1	100	99	808986	Epstein-Barr virus	SAMN06121183
SRR5087338	NC_007605.1	100	99	269504	Epstein-Barr virus	SAMN06121179
SRR5087339	NC_007605.1	100	99	281254	Epstein-Barr virus	SAMN06121178
SRR5087340	NC_007605.1	100	99	517972	Epstein-Barr virus	SAMN06121174
SRR5087341	NC_007605.1	100	99	936578	Epstein-Barr virus	SAMN06121180
SRR5087342	NC_007605.1	100	99	1422878	Epstein-Barr virus	SAMN06121177
SRR5087343	NC_007605.1	100	99	260653	Epstein-Barr virus	SAMN06121181
SRR5087344	NC_007605.1	100	99	535299	Epstein-Barr virus	SAMN06121182
SRR5087358	NC_007605.1	100	99	131650	Epstein-Barr virus	SAMN06121397
SRR5087359	NC_007605.1	100	99	138383	Epstein-Barr virus	SAMN06121387
SRR5087360	NC_007605.1	100	99	310251	Epstein-Barr virus	SAMN06121395
SRR5087361	NC_007605.1	100	99	83516	Epstein-Barr virus	SAMN06121407
SRR5087362	NC_007605.1	99	99	48043	Epstein-Barr virus	SAMN06121368
SRR5087363	NC_007605.1	100	99	148338	Epstein-Barr virus	SAMN06121402
SRR5087364	NC_007605.1	100	99	97629	Epstein-Barr virus	SAMN06121418
SRR5087365	NC_007605.1	100	99	71036	Epstein-Barr virus	SAMN06121415
SRR5087366	NC_007605.1	100	99	176176	Epstein-Barr virus	SAMN06121406
SRR5087367	NC_007605.1	100	99	213568	Epstein-Barr virus	SAMN06121379
SRR5087368	NC_007605.1	100	99	61867	Epstein-Barr virus	SAMN06121421
SRR5087369	NC_007605.1	100	99	57476	Epstein-Barr virus	SAMN06121371
SRR5087370	NC_007605.1	99	99	72979	Epstein-Barr virus	SAMN06121377
SRR5087371	NC_007605.1	100	99	35454	Epstein-Barr virus	SAMN06121370
SRR5087372	NC_007605.1	100	99	61074	Epstein-Barr virus	SAMN06121376
SRR5087373	NC_007605.1	100	99	124257	Epstein-Barr virus	SAMN06121408
SRR5087374	NC_007605.1	99	99	74964	Epstein-Barr virus	SAMN06121393
SRR5087375	NC_007605.1	100	99	73448	Epstein-Barr virus	SAMN06121420
SRR5087376	NC_007605.1	100	99	55792	Epstein-Barr virus	SAMN06121398
SRR5087377	NC_007605.1	100	99	159840	Epstein-Barr virus	SAMN06121424
SRR5087378	NC_007605.1	100	99	104729	Epstein-Barr virus	SAMN06121422
SRR5087379	NC_007605.1	100	99	290300	Epstein-Barr virus	SAMN06121378
SRR5087380	NC_007605.1	100	99	52624	Epstein-Barr virus	SAMN06121374
SRR5087381	NC_007605.1	100	99	77152	Epstein-Barr virus	SAMN06121419
SRR5087382	NC_007605.1	100	99	235853	Epstein-Barr virus	SAMN06121389
SRR5087383	NC_007605.1	100	99	82207	Epstein-Barr virus	SAMN06121414
SRR5087384	NC_007605.1	100	99	179314	Epstein-Barr virus	SAMN06121423
SRR5087385	NC_007605.1	100	99	65956	Epstein-Barr virus	SAMN06121375
SRR5087386	NC_007605.1	100	99	300782	Epstein-Barr virus	SAMN06121427
SRR5087387	NC_007605.1	100	99	193442	Epstein-Barr virus	SAMN06121396
SRR5087388	NC_007605.1	100	99	117591	Epstein-Barr virus	SAMN06121392
SRR5087389	NC_007605.1	100	99	237139	Epstein-Barr virus	SAMN06121381
SRR5087390	NC_007605.1	100	99	144077	Epstein-Barr virus	SAMN06121412
SRR5087391	NC_007605.1	100	99	356780	Epstein-Barr virus	SAMN06121384
SRR5087392	NC_007605.1	100	99	221104	Epstein-Barr virus	SAMN06121391
SRR5087393	NC_007605.1	100	99	134709	Epstein-Barr virus	SAMN06121426
SRR5087394	NC_007605.1	100	99	154044	Epstein-Barr virus	SAMN06121399
SRR5087395	NC_007605.1	100	99	138500	Epstein-Barr virus	SAMN06121405
SRR5087396	NC_007605.1	100	99	376971	Epstein-Barr virus	SAMN06121382
SRR5087397	NC_007605.1	100	99	211472	Epstein-Barr virus	SAMN06121411
SRR5087398	NC_007605.1	100	99	130321	Epstein-Barr virus	SAMN06121404
SRR5087399	NC_007605.1	100	99	97686	Epstein-Barr virus	SAMN06121409
SRR5087400	NC_007605.1	100	99	74223	Epstein-Barr virus	SAMN06121372
SRR5087401	NC_007605.1	100	99	76546	Epstein-Barr virus	SAMN06121417
SRR5087402	NC_007605.1	100	99	284496	Epstein-Barr virus	SAMN06121388
SRR5087403	NC_007605.1	100	99	248589	Epstein-Barr virus	SAMN06121383
SRR5087404	NC_007605.1	100	99	195646	Epstein-Barr virus	SAMN06121386
SRR5087405	NC_007605.1	100	99	66288	Epstein-Barr virus	SAMN06121400
SRR5087406	NC_007605.1	100	99	58051	Epstein-Barr virus	SAMN06121373
SRR5087407	NC_007605.1	100	99	440578	Epstein-Barr virus	SAMN06121394
SRR5087408	NC_007605.1	100	99	75951	Epstein-Barr virus	SAMN06121413
SRR5087409	NC_007605.1	100	99	190130	Epstein-Barr virus	SAMN06121403
SRR5087410	NC_007605.1	100	99	190649	Epstein-Barr virus	SAMN06121425
SRR5087411	NC_007605.1	100	99	312512	Epstein-Barr virus	SAMN06121390
SRR5087412	NC_007605.1	100	99	147570	Epstein-Barr virus	SAMN06121385
SRR5087413	NC_007605.1	100	99	287623	Epstein-Barr virus	SAMN06121380
SRR5087414	NC_007605.1	100	99	76031	Epstein-Barr virus	SAMN06121369
SRR5087415	NC_007605.1	100	99	95107	Epstein-Barr virus	SAMN06121401
SRR5087416	NC_007605.1	100	99	345669	Epstein-Barr virus	SAMN06121410
SRR5087417	NC_007605.1	100	99	136805	Epstein-Barr virus	SAMN06121416
SRR5092839	NC_009333.1	95	100	2632	Human herpesvirus 8	SAMN06128295
SRR5092840	NC_009333.1	98	100	2650	Human herpesvirus 8	SAMN06128294
SRR5092841	NC_009333.1	100	100	8796	Human herpesvirus 8	SAMN06128296
SRR5092842	NC_009333.1	100	100	11240	Human herpesvirus 8	SAMN06128297
SRR5092849	NC_009333.1	68	100	563	Human herpesvirus 8	SAMN06128286
SRR5092850	NC_009333.1	54	100	447	Human herpesvirus 8	SAMN06128285
SRR5110646	NC_001806.2	58	99	158	Human herpesvirus 1	SAMN06141752
SRR5114321	NC_007605.1	69	99	4353	Epstein-Barr virus	SAMN06145900
SRR5114322	NC_007605.1	74	99	4566	Epstein-Barr virus	SAMN06145899
SRR5114323	NC_007605.1	70	99	4780	Epstein-Barr virus	SAMN06145898
SRR5114324	NC_007605.1	69	99	3494	Epstein-Barr virus	SAMN06145897
SRR5114325	NC_007605.1	81	99	6944	Epstein-Barr virus	SAMN06145896
SRR5114326	NC_007605.1	67	99	5239	Epstein-Barr virus	SAMN06145895
SRR5114327	NC_007605.1	64	99	5578	Epstein-Barr virus	SAMN06145894
SRR5114328	NC_007605.1	68	99	4221	Epstein-Barr virus	SAMN06145893
SRR5114329	NC_007605.1	69	99	4680	Epstein-Barr virus	SAMN06145892
SRR5114330	NC_007605.1	87	99	10208	Epstein-Barr virus	SAMN06145891
SRR5114331	NC_007605.1	66	99	4026	Epstein-Barr virus	SAMN06145890
SRR5114332	NC_007605.1	70	99	4936	Epstein-Barr virus	SAMN06145889
SRR5114333	NC_007605.1	63	99	4298	Epstein-Barr virus	SAMN06145888
SRR5114334	NC_007605.1	61	99	2936	Epstein-Barr virus	SAMN06145887
SRR5114335	NC_007605.1	62	99	4399	Epstein-Barr virus	SAMN06145886
SRR5114336	NC_007605.1	67	99	4691	Epstein-Barr virus	SAMN06145885
SRR5114337	NC_007605.1	69	99	4809	Epstein-Barr virus	SAMN06145884
SRR5114338	NC_007605.1	69	99	4975	Epstein-Barr virus	SAMN06145883
SRR5114339	NC_007605.1	73	99	8683	Epstein-Barr virus	SAMN06145882
SRR5114340	NC_007605.1	69	99	6585	Epstein-Barr virus	SAMN06145881
SRR5117451	NC_007605.1	97	100	23791	Epstein-Barr virus	SAMN06161271
SRR5117452	NC_007605.1	97	100	24205	Epstein-Barr virus	SAMN06161271
SRR5117453	NC_007605.1	97	100	132436	Epstein-Barr virus	SAMN06161271
SRR5117454	NC_007605.1	99	99	91698	Epstein-Barr virus	SAMN06161270
SRR5117455	NC_007605.1	97	100	6857	Epstein-Barr virus	SAMN06161270
SRR5117456	NC_007605.1	97	100	6731	Epstein-Barr virus	SAMN06161270
SRR5117457	NC_007605.1	97	100	16310	Epstein-Barr virus	SAMN06161269
SRR5117458	NC_007605.1	99	99	36451	Epstein-Barr virus	SAMN06161268
SRR5117459	NC_007605.1	99	99	35963	Epstein-Barr virus	SAMN06161268
SRR5117460	NC_007605.1	97	100	25867	Epstein-Barr virus	SAMN06161267
SRR5117461	NC_007605.1	98	99	35138	Epstein-Barr virus	SAMN06161266
SRR5117462	NC_007605.1	98	99	34468	Epstein-Barr virus	SAMN06161266
SRR5117463	NC_007605.1	98	99	36594	Epstein-Barr virus	SAMN06161265
SRR5117464	NC_007605.1	98	99	35899	Epstein-Barr virus	SAMN06161265
SRR5117465	NC_007605.1	98	99	39154	Epstein-Barr virus	SAMN06161264
SRR5117466	NC_007605.1	97	100	46162	Epstein-Barr virus	SAMN06161264
SRR5117467	NC_007605.1	97	100	66255	Epstein-Barr virus	SAMN06161263
SRR5117468	NC_007605.1	98	99	54250	Epstein-Barr virus	SAMN06161263
SRR5117469	NC_007605.1	98	99	37735	Epstein-Barr virus	SAMN06161262
SRR5117470	NC_007605.1	98	99	37706	Epstein-Barr virus	SAMN06161262
SRR5117471	NC_007605.1	98	99	57541	Epstein-Barr virus	SAMN06161261
SRR5117472	NC_007605.1	98	99	56462	Epstein-Barr virus	SAMN06161261
SRR5117473	NC_007605.1	97	100	3799	Epstein-Barr virus	SAMN06161260
SRR5117474	NC_007605.1	97	100	4158	Epstein-Barr virus	SAMN06161260
SRR5117475	NC_007605.1	97	100	2605	Epstein-Barr virus	SAMN06161259
SRR5117476	NC_007605.1	97	100	10537	Epstein-Barr virus	SAMN06161259
SRR5117477	NC_007605.1	97	100	11455	Epstein-Barr virus	SAMN06161259
SRR5117478	NC_007605.1	97	100	13332	Epstein-Barr virus	SAMN06161258
SRR5117479	NC_007605.1	97	100	13999	Epstein-Barr virus	SAMN06161258
SRR5117480	NC_007605.1	97	100	18235	Epstein-Barr virus	SAMN06161257
SRR5117481	NC_007605.1	97	100	19040	Epstein-Barr virus	SAMN06161257
SRR5117482	NC_007605.1	97	100	12711	Epstein-Barr virus	SAMN06161256
SRR5117483	NC_007605.1	97	100	13286	Epstein-Barr virus	SAMN06161256
SRR5117484	NC_007605.1	97	100	43032	Epstein-Barr virus	SAMN06161255
SRR5117485	NC_007605.1	97	100	45180	Epstein-Barr virus	SAMN06161255
SRR5117486	NC_007605.1	98	99	31529	Epstein-Barr virus	SAMN06161254
SRR5117487	NC_007605.1	99	99	30943	Epstein-Barr virus	SAMN06161254
SRR5117488	NC_007605.1	100	99	96190	Epstein-Barr virus	SAMN06161254
SRR5117489	NC_007605.1	98	99	24609	Epstein-Barr virus	SAMN06161253
SRR5117490	NC_007605.1	98	99	24386	Epstein-Barr virus	SAMN06161253
SRR5117491	NC_007605.1	98	99	19650	Epstein-Barr virus	SAMN06161252
SRR5117492	NC_007605.1	98	99	19560	Epstein-Barr virus	SAMN06161252
SRR5117493	NC_007605.1	98	99	40728	Epstein-Barr virus	SAMN06161251
SRR5117494	NC_007605.1	98	99	39511	Epstein-Barr virus	SAMN06161251
SRR5117495	NC_007605.1	98	99	29745	Epstein-Barr virus	SAMN06161250
SRR5117496	NC_007605.1	98	99	34927	Epstein-Barr virus	SAMN06161250
SRR5117497	NC_007605.1	98	99	26886	Epstein-Barr virus	SAMN06161249
SRR5117498	NC_007605.1	98	99	30573	Epstein-Barr virus	SAMN06161249
SRR5117499	NC_007605.1	98	99	36061	Epstein-Barr virus	SAMN06161248
SRR5117500	NC_007605.1	99	99	34820	Epstein-Barr virus	SAMN06161248
SRR5117501	NC_007605.1	98	99	22351	Epstein-Barr virus	SAMN06161247
SRR5117502	NC_007605.1	98	99	21995	Epstein-Barr virus	SAMN06161247
SRR5117503	NC_007605.1	98	99	26527	Epstein-Barr virus	SAMN06161246
SRR5117504	NC_007605.1	98	99	25473	Epstein-Barr virus	SAMN06161246
SRR5117505	NC_007605.1	98	99	34144	Epstein-Barr virus	SAMN06161245
SRR5117506	NC_007605.1	98	99	33205	Epstein-Barr virus	SAMN06161245
SRR5117507	NC_007605.1	98	99	28696	Epstein-Barr virus	SAMN06161244
SRR5117508	NC_007605.1	98	99	27550	Epstein-Barr virus	SAMN06161244
SRR5117509	NC_007605.1	98	99	23998	Epstein-Barr virus	SAMN06161243
SRR5117510	NC_007605.1	98	99	23299	Epstein-Barr virus	SAMN06161243
SRR5117511	NC_007605.1	98	99	27222	Epstein-Barr virus	SAMN06161242
SRR5117512	NC_007605.1	98	99	26824	Epstein-Barr virus	SAMN06161242
SRR5117513	NC_007605.1	98	99	28961	Epstein-Barr virus	SAMN06161380
SRR5117514	NC_007605.1	98	99	28545	Epstein-Barr virus	SAMN06161380
SRR5117515	NC_007605.1	97	100	91635	Epstein-Barr virus	SAMN06161379
SRR5117516	NC_007605.1	97	100	10245	Epstein-Barr virus	SAMN06161379
SRR5117517	NC_007605.1	97	100	14513	Epstein-Barr virus	SAMN06161378
SRR5117518	NC_007605.1	97	100	9005	Epstein-Barr virus	SAMN06161377
SRR5117519	NC_007605.1	97	100	9817	Epstein-Barr virus	SAMN06161377
SRR5117520	NC_007605.1	97	100	23523	Epstein-Barr virus	SAMN06161376
SRR5117521	NC_007605.1	97	100	7467	Epstein-Barr virus	SAMN06161376
SRR5117522	NC_007605.1	97	100	8077	Epstein-Barr virus	SAMN06161376
SRR5117523	NC_007605.1	98	99	58707	Epstein-Barr virus	SAMN06161375
SRR5117524	NC_007605.1	97	99	55873	Epstein-Barr virus	SAMN06161375
SRR5117525	NC_007605.1	98	99	25596	Epstein-Barr virus	SAMN06161374
SRR5117526	NC_007605.1	97	100	23652	Epstein-Barr virus	SAMN06161374
SRR5117527	NC_007605.1	97	100	31928	Epstein-Barr virus	SAMN06161373
SRR5117528	NC_007605.1	97	100	25096	Epstein-Barr virus	SAMN06161373
SRR5117529	NC_007605.1	98	99	36073	Epstein-Barr virus	SAMN06161372
SRR5117530	NC_007605.1	98	99	28952	Epstein-Barr virus	SAMN06161372
SRR5117531	NC_007605.1	98	99	98936	Epstein-Barr virus	SAMN06161371
SRR5117532	NC_007605.1	98	99	78524	Epstein-Barr virus	SAMN06161371
SRR5117533	NC_007605.1	98	99	21488	Epstein-Barr virus	SAMN06161370
SRR5117534	NC_007605.1	98	99	17660	Epstein-Barr virus	SAMN06161370
SRR5117535	NC_007605.1	98	99	19914	Epstein-Barr virus	SAMN06161369
SRR5117536	NC_007605.1	98	99	19261	Epstein-Barr virus	SAMN06161369
SRR5117537	NC_007605.1	98	99	18395	Epstein-Barr virus	SAMN06161368
SRR5117538	NC_007605.1	98	99	17626	Epstein-Barr virus	SAMN06161368
SRR5117539	NC_007605.1	98	99	30230	Epstein-Barr virus	SAMN06161367
SRR5117540	NC_007605.1	98	99	30482	Epstein-Barr virus	SAMN06161367
SRR5117541	NC_007605.1	98	99	39351	Epstein-Barr virus	SAMN06161366
SRR5117542	NC_007605.1	98	99	39699	Epstein-Barr virus	SAMN06161366
SRR5117543	NC_007605.1	98	99	23310	Epstein-Barr virus	SAMN06161365
SRR5117544	NC_007605.1	98	99	22899	Epstein-Barr virus	SAMN06161365
SRR5117545	NC_007605.1	98	99	31111	Epstein-Barr virus	SAMN06161364
SRR5117546	NC_007605.1	98	99	31308	Epstein-Barr virus	SAMN06161364
SRR5117547	NC_007605.1	98	99	30124	Epstein-Barr virus	SAMN06161363
SRR5117548	NC_007605.1	98	99	30037	Epstein-Barr virus	SAMN06161363
SRR5117549	NC_007605.1	98	99	18915	Epstein-Barr virus	SAMN06161362
SRR5117550	NC_007605.1	98	99	18857	Epstein-Barr virus	SAMN06161362
SRR5117551	NC_007605.1	98	99	60418	Epstein-Barr virus	SAMN06161361
SRR5117552	NC_007605.1	98	99	23631	Epstein-Barr virus	SAMN06161360
SRR5117553	NC_007605.1	98	99	23016	Epstein-Barr virus	SAMN06161360
SRR5117554	NC_007605.1	97	100	17990	Epstein-Barr virus	SAMN06161359
SRR5117555	NC_007605.1	97	100	20340	Epstein-Barr virus	SAMN06161358
SRR5117556	NC_007605.1	97	100	20570	Epstein-Barr virus	SAMN06161358
SRR5117557	NC_007605.1	99	99	58873	Epstein-Barr virus	SAMN06161357
SRR5117558	NC_007605.1	97	100	1969	Epstein-Barr virus	SAMN06161357
SRR5117559	NC_007605.1	98	99	20259	Epstein-Barr virus	SAMN06161356
SRR5117560	NC_007605.1	98	99	19718	Epstein-Barr virus	SAMN06161356
SRR5117561	NC_007605.1	98	99	18977	Epstein-Barr virus	SAMN06161355
SRR5117562	NC_007605.1	98	99	15424	Epstein-Barr virus	SAMN06161355
SRR5117563	NC_007605.1	98	99	70210	Epstein-Barr virus	SAMN06161323
SRR5117564	NC_007605.1	98	99	68165	Epstein-Barr virus	SAMN06161323
SRR5117565	NC_007605.1	98	99	73810	Epstein-Barr virus	SAMN06161322
SRR5117566	NC_007605.1	98	99	87413	Epstein-Barr virus	SAMN06161322
SRR5117567	NC_007605.1	98	99	26888	Epstein-Barr virus	SAMN06161321
SRR5117568	NC_007605.1	98	99	32591	Epstein-Barr virus	SAMN06161321
SRR5117569	NC_007605.1	98	99	149090	Epstein-Barr virus	SAMN06161320
SRR5117570	NC_007605.1	97	100	144834	Epstein-Barr virus	SAMN06161320
SRR5117571	NC_007605.1	98	99	24740	Epstein-Barr virus	SAMN06161354
SRR5117572	NC_007605.1	98	99	29551	Epstein-Barr virus	SAMN06161354
SRR5117573	NC_007605.1	98	99	23218	Epstein-Barr virus	SAMN06161353
SRR5117574	NC_007605.1	98	99	27425	Epstein-Barr virus	SAMN06161353
SRR5117575	NC_007605.1	98	99	24331	Epstein-Barr virus	SAMN06161352
SRR5117576	NC_007605.1	98	99	23897	Epstein-Barr virus	SAMN06161352
SRR5117577	NC_007605.1	98	99	25111	Epstein-Barr virus	SAMN06161351
SRR5117578	NC_007605.1	98	99	24747	Epstein-Barr virus	SAMN06161351
SRR5117579	NC_007605.1	98	99	18770	Epstein-Barr virus	SAMN06161319
SRR5117580	NC_007605.1	98	99	18378	Epstein-Barr virus	SAMN06161319
SRR5117581	NC_007605.1	98	99	30685	Epstein-Barr virus	SAMN06161318
SRR5117582	NC_007605.1	98	99	29718	Epstein-Barr virus	SAMN06161318
SRR5117583	NC_007605.1	98	99	47435	Epstein-Barr virus	SAMN06161317
SRR5117584	NC_007605.1	98	99	46532	Epstein-Barr virus	SAMN06161317
SRR5117585	NC_007605.1	98	99	52884	Epstein-Barr virus	SAMN06161316
SRR5117586	NC_007605.1	98	99	51831	Epstein-Barr virus	SAMN06161316
SRR5117587	NC_007605.1	98	99	26245	Epstein-Barr virus	SAMN06161315
SRR5117588	NC_007605.1	98	99	25673	Epstein-Barr virus	SAMN06161315
SRR5117589	NC_007605.1	98	99	25631	Epstein-Barr virus	SAMN06161401
SRR5117590	NC_007605.1	98	99	25299	Epstein-Barr virus	SAMN06161401
SRR5117591	NC_007605.1	99	99	65977	Epstein-Barr virus	SAMN06161400
SRR5117592	NC_007605.1	99	99	64980	Epstein-Barr virus	SAMN06161400
SRR5117593	NC_007605.1	98	99	70911	Epstein-Barr virus	SAMN06161399
SRR5117594	NC_007605.1	98	99	55506	Epstein-Barr virus	SAMN06161399
SRR5117595	NC_007605.1	98	99	48400	Epstein-Barr virus	SAMN06161398
SRR5117596	NC_007605.1	98	99	47017	Epstein-Barr virus	SAMN06161398
SRR5117597	NC_007605.1	98	99	20907	Epstein-Barr virus	SAMN06161397
SRR5117598	NC_007605.1	98	99	20572	Epstein-Barr virus	SAMN06161397
SRR5117599	NC_007605.1	99	99	15345	Epstein-Barr virus	SAMN06161396
SRR5117600	NC_007605.1	98	99	15036	Epstein-Barr virus	SAMN06161396
SRR5117601	NC_007605.1	99	99	34836	Epstein-Barr virus	SAMN06161396
SRR5117602	NC_007605.1	98	99	8316	Epstein-Barr virus	SAMN06161395
SRR5117603	NC_007605.1	98	99	8031	Epstein-Barr virus	SAMN06161395
SRR5117604	NC_007605.1	97	100	18846	Epstein-Barr virus	SAMN06161394
SRR5117605	NC_007605.1	97	100	15804	Epstein-Barr virus	SAMN06161394
SRR5117606	NC_007605.1	100	99	43148	Epstein-Barr virus	SAMN06161393
SRR5117607	NC_007605.1	100	99	35171	Epstein-Barr virus	SAMN06161393
SRR5117608	NC_007605.1	97	100	34680	Epstein-Barr virus	SAMN06161392
SRR5117609	NC_007605.1	97	100	35838	Epstein-Barr virus	SAMN06161392
SRR5117610	NC_007605.1	97	100	49027	Epstein-Barr virus	SAMN06161391
SRR5117611	NC_007605.1	97	100	50981	Epstein-Barr virus	SAMN06161391
SRR5117612	NC_007605.1	98	99	24383	Epstein-Barr virus	SAMN06161390
SRR5117613	NC_007605.1	98	99	23998	Epstein-Barr virus	SAMN06161390
SRR5117614	NC_007605.1	98	99	19933	Epstein-Barr virus	SAMN06161389
SRR5117615	NC_007605.1	97	100	20015	Epstein-Barr virus	SAMN06161389
SRR5117616	NC_007605.1	98	99	9349	Epstein-Barr virus	SAMN06161388
SRR5117617	NC_007605.1	99	99	9236	Epstein-Barr virus	SAMN06161388
SRR5117618	NC_007605.1	98	99	3687	Epstein-Barr virus	SAMN06161388
SRR5117619	NC_007605.1	97	100	17108	Epstein-Barr virus	SAMN06161387
SRR5117620	NC_007605.1	97	100	17256	Epstein-Barr virus	SAMN06161387
SRR5117621	NC_007605.1	97	100	8537	Epstein-Barr virus	SAMN06161386
SRR5117622	NC_007605.1	98	99	36912	Epstein-Barr virus	SAMN06161385
SRR5117623	NC_007605.1	98	99	36459	Epstein-Barr virus	SAMN06161385
SRR5117624	NC_007605.1	91	100	7226	Epstein-Barr virus	SAMN06161384
